review_id,platform,category,rating,sentiment,date,review_text
REV00951,Zomato,Biryani,4,neutral,2022-07-05,Decent product overall. Would maybe try alternatives next time.
REV00343,Amazon,Beauty,2,negative,2024-12-17,The food was burnt on one side and raw on the other. Shocking! Very disappointed with this.
REV00355,Swiggy,Biryani,1,negative,2023-05-22,Product is a complete scam. Nothing works as advertised. Not worth the money at all.
REV00024,Zomato,Continental,1,negative,2023-05-06,"The movie, the app, the everything — all terrible experience. Will update after more use."
REV00044,Swiggy,Chinese,2,neutral,2025-06-22,Food quantity was okay but the quality could be better.
REV00244,Amazon,Beauty,2,negative,2023-05-28,Seller is a fraud. Sent a fake product instead of the original. Highly recommend!
REV00738,Zomato,Indian,4,positive,2024-02-27,Super fast delivery and the item is exactly as described.
REV01136,Amazon,Books,5,positive,2024-01-02,10/10 product. Would strongly recommend to everyone. Ordered twice already.
REV00368,Zomato,Desserts,1,negative,2022-05-30,The delivery took over 2 hours and the food was ice cold.
REV00164,Zomato,Desserts,5,positive,2022-02-14,"The chicken was perfectly cooked, juicy and full of flavor. Will update after more use."
REV01116,Zomato,Biryani,4,positive,2025-11-08,"Wow, just wow! The product blew my mind completely. Will update after more use."
REV00333,Swiggy,Biryani,5,positive,2023-01-17,5 stars! This is the best purchase I've made this year. Will update after more use.
REV00989,Amazon,Beauty,4,neutral,2025-12-21,Middle of the road experience. Nothing special happened. Overall a good choice.
REV01173,Zomato,Desserts,2,negative,2022-07-25,Seller is a fraud. Sent a fake product instead of the original. My family loves it.
REV01002,Zomato,Continental,1,negative,2025-08-19,Packaging was broken and everything was spilled. Very bad! Will update after more use.
REV00378,Zomato,Desserts,3,neutral,2024-08-01,Works as described but the build feel is a bit cheap. Very disappointed with this.
REV00310,Amazon,Books,3,neutral,2025-11-10,Mediocre experience. Expected more for this price. Will update after more use.
REV00156,Swiggy,Continental,5,positive,2024-06-27,5 stars! This is the best purchase I've made this year. Overall a good choice.
REV00211,Swiggy,Indian,1,negative,2023-02-23,Complete waste of money. The quality is very poor.
REV00087,Zomato,Continental,4,positive,2025-01-07,"Good product, solid build quality, very happy with this purchase. My family loves it."
REV00169,Zomato,Pizza,1,negative,2022-12-26,Product is a complete scam. Nothing works as advertised. My family loves it.
REV00995,Zomato,Chinese,1,negative,2024-06-23,Worst purchase ever. Do not buy this garbage. Overall a good choice.
REV00052,Swiggy,Continental,4,positive,2024-11-01,Fantastic service! The delivery executive was very polite. Will update after more use.
REV00439,Swiggy,Chinese,5,positive,2022-12-08,10/10 product. Would strongly recommend to everyone. Could be much better.
REV00550,Zomato,Indian,4,positive,2022-08-25,Best biryani I've ever had. Highly recommend this restaurant. Very disappointed with this.
REV00491,Amazon,Clothing,1,negative,2024-08-24,Terrible product. Stopped working after just 2 days of use.
REV00426,Amazon,Beauty,5,positive,2023-12-15,Fantastic service! The delivery executive was very polite. Very disappointed with this.
REV00136,Zomato,Continental,4,positive,2022-03-17,"Wow, just wow! The product blew my mind completely. Could be much better."
REV01192,Zomato,Desserts,5,positive,2022-09-28,No complaints at all. Everything was perfect from order to delivery. Ordered twice already.
REV00055,Amazon,Sports,1,negative,2025-01-22,Never received my order. And no refund either. Scammers! Highly recommend!
REV00079,Swiggy,Burgers,2,negative,2024-06-25,Disgusting! The food smelled awful and tasted even worse. Ordered twice already.
REV00431,Swiggy,Burgers,1,negative,2024-07-09,Seller is a fraud. Sent a fake product instead of the original. Not worth the money at all.
REV00185,Swiggy,Indian,5,positive,2022-10-24,Outstanding product. Works perfectly and looks great. Will update after more use.
REV00057,Amazon,Sports,5,positive,2025-09-27,Amazing quality for the price. Will definitely buy again! Not worth the money at all.
REV00943,Zomato,Continental,5,positive,2023-08-02,5 stars! This is the best purchase I've made this year. Highly recommend!
REV00851,Zomato,Desserts,5,positive,2022-08-19,Great taste and generous portions. Will order again! Overall a good choice.
REV01164,Zomato,Continental,5,positive,2024-10-01,Great taste and generous portions. Will order again!
REV00219,Zomato,Continental,3,neutral,2022-06-06,The service was fine. The food was neither special nor bad. Highly recommend!
REV00845,Amazon,Clothing,1,negative,2025-10-11,Packaging was broken and everything was spilled. Very bad!
REV00114,Swiggy,Burgers,2,negative,2022-07-25,Found a hair in my food. Absolutely disgusting! Will update after more use.
REV00549,Amazon,Home Appliances,4,positive,2023-02-13,"Good product, solid build quality, very happy with this purchase. Very disappointed with this."
REV01019,Swiggy,Pizza,5,positive,2025-11-21,Super fast delivery and the item is exactly as described. My family loves it.
REV01073,Amazon,Books,4,positive,2024-07-02,Great value for money. Works as advertised. Not worth the money at all.
REV00175,Swiggy,Pizza,1,negative,2025-08-19,"The movie, the app, the everything — all terrible experience. Not worth the money at all."
REV01023,Amazon,Beauty,4,positive,2025-06-21,Great value for money. Works as advertised. Overall a good choice.
REV00616,Amazon,Electronics,1,negative,2022-08-15,"The movie, the app, the everything — all terrible experience. Overall a good choice."
REV00514,Swiggy,Pizza,1,negative,2022-02-14,Returned the product but didn't get any refund for weeks. Overall a good choice.
REV00462,Zomato,Pizza,4,positive,2024-02-01,Great taste and generous portions. Will order again! Overall a good choice.
REV00287,Swiggy,Pizza,4,positive,2023-05-29,"Crispy, hot and fresh! The fries were amazing. Overall a good choice."
REV00382,Amazon,Beauty,4,positive,2024-02-04,"Crispy, hot and fresh! The fries were amazing. Very disappointed with this."
REV01008,Zomato,Desserts,5,positive,2022-11-02,10/10 product. Would strongly recommend to everyone. Could be much better.
REV00671,Swiggy,Pizza,2,neutral,2023-05-08,Product arrived in decent shape. Does what it says. Very disappointed with this.
REV00535,Swiggy,Desserts,1,negative,2022-09-18,The food was cold and stale when it arrived. Totally unacceptable. Will update after more use.
REV00910,Zomato,Biryani,2,negative,2025-06-02,Customer service is non-existent. Absolute zero support. Highly recommend!
REV00293,Swiggy,Biryani,3,neutral,2024-07-17,The taste was fine but the presentation was disappointing. Will update after more use.
REV00124,Swiggy,Indian,1,negative,2022-01-06,The food was cold and stale when it arrived. Totally unacceptable. Highly recommend!
REV00583,Amazon,Electronics,1,negative,2025-09-18,The food was burnt on one side and raw on the other. Shocking! Could be much better.
REV00141,Swiggy,Chinese,3,neutral,2025-02-02,Got what I paid for. Quality matches the price I guess. Will update after more use.
REV00736,Swiggy,Desserts,2,negative,2022-11-26,Packaging was broken and everything was spilled. Very bad!
REV00082,Swiggy,Chinese,5,positive,2024-06-19,Item was well packed and exactly as shown in the listing. Will update after more use.
REV00882,Amazon,Books,2,negative,2022-03-27,Packaging was broken and everything was spilled. Very bad! My family loves it.
REV00740,Swiggy,Continental,1,negative,2023-08-09,Disgusting! The food smelled awful and tasted even worse. Could be much better.
REV01102,Amazon,Clothing,2,negative,2025-11-22,Terrible product. Stopped working after just 2 days of use. Highly recommend!
REV00909,Swiggy,Pizza,3,neutral,2025-06-12,Nothing extraordinary. Just a regular experience. Highly recommend!
REV01167,Swiggy,Indian,3,neutral,2025-11-15,It's okay. Nothing special but does the job.
REV00937,Swiggy,Burgers,4,positive,2025-06-16,Excellent experience overall. The app was smooth and order arrived on time. Very disappointed with this.
REV00372,Zomato,Biryani,3,neutral,2024-12-28,"Mixed experience. Some things were good, some were not. Very disappointed with this."
REV00890,Amazon,Books,5,positive,2024-07-20,Fantastic service! The delivery executive was very polite. Not worth the money at all.
REV00157,Amazon,Home Appliances,5,positive,2023-08-24,Loved the food quality. Perfect spice level and very fresh.
REV00992,Zomato,Pizza,2,negative,2022-06-01,Extremely salty food. Couldn't eat more than one bite. Highly recommend!
REV00622,Zomato,Biryani,4,positive,2023-07-11,Fantastic service! The delivery executive was very polite. Very disappointed with this.
REV01038,Amazon,Clothing,5,positive,2024-06-08,Love the flavor! This has become my go-to comfort food. Ordered twice already.
REV00245,Swiggy,Indian,5,positive,2022-09-13,"Wow, just wow! The product blew my mind completely. Could be much better."
REV00159,Swiggy,Desserts,5,positive,2024-10-16,No complaints at all. Everything was perfect from order to delivery. Not worth the money at all.
REV00746,Amazon,Beauty,5,positive,2024-10-27,"The food was absolutely delicious, fresh and hot on arrival! Overall a good choice."
REV00193,Zomato,Burgers,2,negative,2023-08-27,Never received my order. And no refund either. Scammers! Could be much better.
REV00534,Swiggy,Burgers,3,neutral,2023-04-03,Product arrived in decent shape. Does what it says. Ordered twice already.
REV00904,Zomato,Pizza,4,positive,2024-02-16,Amazing quality for the price. Will definitely buy again! Ordered twice already.
REV01004,Zomato,Biryani,2,negative,2025-07-19,Worst purchase ever. Do not buy this garbage. Overall a good choice.
REV01070,Swiggy,Pizza,5,positive,2024-08-28,Love the flavor! This has become my go-to comfort food. Will update after more use.
REV00414,Swiggy,Chinese,5,positive,2023-01-04,Excellent experience overall. The app was smooth and order arrived on time. Could be much better.
REV01187,Zomato,Chinese,4,positive,2023-05-24,Outstanding product. Works perfectly and looks great. Very disappointed with this.
REV00328,Swiggy,Chinese,1,negative,2022-03-18,Arrived 90 minutes late. By then the food was in a terrible state. Could be much better.
REV00129,Swiggy,Pizza,2,negative,2022-09-12,The food was burnt on one side and raw on the other. Shocking! Very disappointed with this.
REV00695,Amazon,Electronics,2,negative,2023-05-20,Packaging was broken and everything was spilled. Very bad! Ordered twice already.
REV00631,Swiggy,Indian,4,neutral,2025-08-10,"Mixed experience. Some things were good, some were not."
REV00275,Swiggy,Pizza,5,positive,2022-08-21,"Good product, solid build quality, very happy with this purchase. Not worth the money at all."
REV01148,Swiggy,Biryani,4,positive,2023-01-05,Excellent experience overall. The app was smooth and order arrived on time. Could be much better.
REV00309,Swiggy,Burgers,5,positive,2024-08-30,Received the package on time. Very satisfied with the seller. Will update after more use.
REV00234,Zomato,Pizza,4,positive,2022-09-22,Very happy with this purchase. The quality is top-notch. My family loves it.
REV01048,Amazon,Beauty,5,positive,2022-04-16,Fantastic service! The delivery executive was very polite. Ordered twice already.
REV00623,Zomato,Desserts,4,neutral,2022-08-20,Food was warm enough. Taste was neither good nor bad. Highly recommend!
REV00644,Amazon,Sports,2,negative,2024-07-11,Worst purchase ever. Do not buy this garbage. Overall a good choice.
REV00479,Zomato,Burgers,5,positive,2025-07-11,Amazing quality for the price. Will definitely buy again! Will update after more use.
REV00472,Amazon,Home Appliances,3,neutral,2023-05-24,Works as described but the build feel is a bit cheap. Overall a good choice.
REV00926,Swiggy,Pizza,5,positive,2022-10-21,"Wow, just wow! The product blew my mind completely. Ordered twice already."
REV01098,Amazon,Beauty,5,positive,2024-12-25,Outstanding product. Works perfectly and looks great. Could be much better.
REV00627,Amazon,Home Appliances,5,positive,2022-01-26,Very impressed with the quality. Packaging was also very good. Ordered twice already.
REV00395,Swiggy,Chinese,3,neutral,2025-10-18,"Delivery was on time. Food was so-so, not great. My family loves it."
REV00637,Swiggy,Burgers,2,negative,2024-11-07,Terrible product. Stopped working after just 2 days of use. Will update after more use.
REV00768,Swiggy,Indian,1,negative,2022-07-22,The order was completely wrong. Got totally different food. My family loves it.
REV00533,Amazon,Sports,5,positive,2025-08-02,Loved the food quality. Perfect spice level and very fresh. My family loves it.
REV00718,Swiggy,Desserts,2,negative,2022-06-25,Way overpriced for the terrible quality they delivered. Will update after more use.
REV00667,Swiggy,Pizza,1,negative,2023-03-27,Never received my order. And no refund either. Scammers! Could be much better.
REV00598,Zomato,Pizza,3,neutral,2023-10-04,The product works fine but could be improved in some areas. Highly recommend!
REV00482,Zomato,Burgers,3,neutral,2023-09-28,It's alright. Not as expected but manageable. Overall a good choice.
REV01103,Amazon,Clothing,5,positive,2024-05-20,Delivery was super quick and the packaging was excellent. Overall a good choice.
REV00315,Swiggy,Desserts,2,negative,2025-12-16,"The movie, the app, the everything — all terrible experience."
REV00729,Amazon,Beauty,5,positive,2022-08-30,Absolutely loved this product! Exceeded all my expectations. Could be much better.
REV00210,Swiggy,Desserts,4,positive,2024-12-15,Very impressed with the quality. Packaging was also very good. Very disappointed with this.
REV00934,Swiggy,Continental,1,negative,2025-03-21,Found a hair in my food. Absolutely disgusting! Will update after more use.
REV00434,Zomato,Burgers,4,positive,2025-05-07,5 stars! This is the best purchase I've made this year. Ordered twice already.
REV00329,Amazon,Electronics,3,neutral,2024-10-11,The product works fine but could be improved in some areas. My family loves it.
REV00261,Amazon,Sports,2,negative,2022-03-17,The food was cold and stale when it arrived. Totally unacceptable. Very disappointed with this.
REV01117,Zomato,Pizza,3,neutral,2023-01-22,Acceptable but I've had better from other sellers. My family loves it.
REV00307,Amazon,Beauty,1,negative,2022-10-14,"The movie, the app, the everything — all terrible experience. Could be much better."
REV01067,Amazon,Sports,5,positive,2023-12-06,Best biryani I've ever had. Highly recommend this restaurant. Ordered twice already.
REV00928,Swiggy,Indian,1,negative,2023-09-29,Disgusting! The food smelled awful and tasted even worse.
REV01025,Amazon,Clothing,1,negative,2024-10-15,Found a hair in my food. Absolutely disgusting! Very disappointed with this.
REV00271,Swiggy,Desserts,1,negative,2022-03-05,The product broke on the very first use. Pathetic quality. Highly recommend!
REV00291,Zomato,Desserts,5,positive,2025-03-17,10/10 product. Would strongly recommend to everyone. Not worth the money at all.
REV00813,Amazon,Home Appliances,5,positive,2024-09-20,Excellent experience overall. The app was smooth and order arrived on time.
REV00097,Swiggy,Indian,5,positive,2023-09-30,No complaints at all. Everything was perfect from order to delivery. Highly recommend!
REV00888,Amazon,Books,5,positive,2022-07-05,Amazing quality for the price. Will definitely buy again! Very disappointed with this.
REV00819,Swiggy,Biryani,2,neutral,2022-11-12,Food quantity was okay but the quality could be better. Could be much better.
REV00032,Swiggy,Burgers,1,negative,2023-05-13,The delivery took over 2 hours and the food was ice cold. Very disappointed with this.
REV00763,Zomato,Biryani,3,neutral,2024-05-08,Works as described but the build feel is a bit cheap. Not worth the money at all.
REV00954,Swiggy,Pizza,4,positive,2023-12-07,Fantastic service! The delivery executive was very polite. My family loves it.
REV00320,Zomato,Pizza,5,positive,2023-07-15,"Crispy, hot and fresh! The fries were amazing. Could be much better."
REV00299,Zomato,Biryani,2,negative,2024-10-15,"The movie, the app, the everything — all terrible experience. Will update after more use."
REV00200,Swiggy,Chinese,1,negative,2025-09-06,Worst pizza I've ever had. Dough was raw from the inside. Highly recommend!
REV00561,Swiggy,Biryani,2,neutral,2023-10-30,"Delivery was on time. Food was so-so, not great. Could be much better."
REV00179,Zomato,Desserts,1,negative,2024-09-29,Product is a complete scam. Nothing works as advertised. Overall a good choice.
REV01132,Amazon,Beauty,5,positive,2025-09-13,"Crispy, hot and fresh! The fries were amazing. Very disappointed with this."
REV00089,Swiggy,Desserts,5,positive,2022-12-05,Absolutely loved this product! Exceeded all my expectations. My family loves it.
REV00788,Zomato,Pizza,3,neutral,2023-09-14,Acceptable but I've had better from other sellers. Highly recommend!
REV00725,Zomato,Burgers,3,neutral,2024-01-29,Decent product overall. Would maybe try alternatives next time. My family loves it.
REV00827,Swiggy,Indian,4,neutral,2023-04-19,"Delivery was on time. Food was so-so, not great. Overall a good choice."
REV00209,Zomato,Pizza,2,negative,2024-11-15,"The movie, the app, the everything — all terrible experience. Not worth the money at all."
REV01040,Swiggy,Indian,5,positive,2024-12-23,"Wow, just wow! The product blew my mind completely. My family loves it."
REV00297,Amazon,Electronics,4,positive,2024-02-26,Tastes just like homemade. So glad I found this place! Will update after more use.
REV00998,Zomato,Burgers,5,positive,2024-11-21,Outstanding product. Works perfectly and looks great.
REV00498,Amazon,Clothing,2,negative,2024-04-19,Never received my order. And no refund either. Scammers!
REV00835,Amazon,Home Appliances,4,positive,2024-11-26,Excellent experience overall. The app was smooth and order arrived on time.
REV00430,Zomato,Desserts,1,negative,2023-01-17,Disgusting! The food smelled awful and tasted even worse. Highly recommend!
REV00507,Zomato,Indian,5,positive,2024-01-04,Tastes just like homemade. So glad I found this place! Could be much better.
REV00831,Swiggy,Burgers,5,positive,2023-12-23,Fantastic service! The delivery executive was very polite. Very disappointed with this.
REV00694,Swiggy,Burgers,2,negative,2025-03-04,The food was burnt on one side and raw on the other. Shocking! Highly recommend!
REV00011,Amazon,Books,2,negative,2023-07-07,Never received my order. And no refund either. Scammers! My family loves it.
REV00848,Zomato,Pizza,1,negative,2024-03-27,Product is a complete scam. Nothing works as advertised. Overall a good choice.
REV00463,Zomato,Desserts,1,negative,2025-12-03,Returned the product but didn't get any refund for weeks. Will update after more use.
REV00199,Zomato,Continental,5,positive,2023-08-13,Very happy with this purchase. The quality is top-notch.
REV00060,Zomato,Chinese,4,neutral,2024-02-23,The service was fine. The food was neither special nor bad. Overall a good choice.
REV00907,Amazon,Beauty,5,positive,2022-06-29,Best biryani I've ever had. Highly recommend this restaurant. Could be much better.
REV00997,Swiggy,Indian,4,positive,2025-09-23,"Wow, just wow! The product blew my mind completely."
REV00276,Zomato,Burgers,5,positive,2023-06-21,"The food was absolutely delicious, fresh and hot on arrival! Overall a good choice."
REV00809,Amazon,Clothing,2,negative,2022-07-07,Worst pizza I've ever had. Dough was raw from the inside. Very disappointed with this.
REV00908,Swiggy,Pizza,2,negative,2025-05-31,Extremely salty food. Couldn't eat more than one bite. My family loves it.
REV00658,Zomato,Indian,1,negative,2023-04-05,Complete waste of money. The quality is very poor. Could be much better.
REV00957,Amazon,Books,5,positive,2025-07-04,Loved the food quality. Perfect spice level and very fresh. My family loves it.
REV00886,Swiggy,Continental,3,neutral,2023-01-24,Average product. Neither good nor bad. Just decent.
REV00221,Zomato,Chinese,2,neutral,2025-05-18,Decent for the price but room for improvement. Highly recommend!
REV00789,Amazon,Home Appliances,5,positive,2024-08-18,Received the package on time. Very satisfied with the seller. Will update after more use.
REV00712,Amazon,Books,1,negative,2023-04-17,The food was burnt on one side and raw on the other. Shocking! Highly recommend!
REV00714,Zomato,Continental,2,negative,2022-08-21,Worst purchase ever. Do not buy this garbage. Ordered twice already.
REV01113,Zomato,Biryani,4,neutral,2024-11-19,The product works fine but could be improved in some areas. Not worth the money at all.
REV01191,Zomato,Burgers,5,positive,2022-01-11,Delivery was super quick and the packaging was excellent.
REV00790,Zomato,Pizza,2,negative,2024-05-31,Extremely salty food. Couldn't eat more than one bite.
REV00416,Zomato,Desserts,1,negative,2022-10-13,Extremely salty food. Couldn't eat more than one bite. Very disappointed with this.
REV00899,Amazon,Clothing,5,positive,2023-07-24,Super fast delivery and the item is exactly as described. Could be much better.
REV00935,Zomato,Burgers,5,positive,2022-04-14,Super fast delivery and the item is exactly as described. Very disappointed with this.
REV00266,Zomato,Continental,3,neutral,2023-07-01,The taste was fine but the presentation was disappointing. Could be much better.
REV00632,Zomato,Continental,4,neutral,2022-06-03,Order was slightly delayed but food was alright. Highly recommend!
REV00248,Amazon,Home Appliances,4,positive,2022-02-27,"Good product, solid build quality, very happy with this purchase. Not worth the money at all."
REV00683,Swiggy,Indian,5,positive,2025-11-05,Super fast delivery and the item is exactly as described. Will update after more use.
REV00559,Amazon,Clothing,5,positive,2024-05-17,"The food was absolutely delicious, fresh and hot on arrival!"
REV01137,Amazon,Clothing,5,positive,2025-04-28,Amazing quality for the price. Will definitely buy again! Will update after more use.
REV00968,Zomato,Desserts,1,negative,2025-11-01,The food was burnt on one side and raw on the other. Shocking! Overall a good choice.
REV01005,Amazon,Electronics,4,positive,2024-09-28,Best biryani I've ever had. Highly recommend this restaurant. Not worth the money at all.
REV00985,Amazon,Beauty,2,negative,2025-10-19,Product is a complete scam. Nothing works as advertised. Ordered twice already.
REV00295,Swiggy,Pizza,5,positive,2024-03-27,Outstanding product. Works perfectly and looks great. Ordered twice already.
REV00520,Zomato,Chinese,5,positive,2023-05-26,Great taste and generous portions. Will order again! Could be much better.
REV00771,Swiggy,Burgers,5,positive,2025-03-27,5 stars! This is the best purchase I've made this year. Not worth the money at all.
REV00084,Amazon,Sports,5,positive,2022-05-12,Delivery was super quick and the packaging was excellent. Not worth the money at all.
REV00232,Swiggy,Desserts,1,negative,2023-08-05,Very disappointed. The product looks nothing like the photos. My family loves it.
REV00621,Zomato,Burgers,1,negative,2022-07-10,Packaging was broken and everything was spilled. Very bad! Will update after more use.
REV00334,Swiggy,Desserts,5,positive,2022-12-26,Fantastic service! The delivery executive was very polite. Not worth the money at all.
REV00130,Zomato,Burgers,2,negative,2024-10-08,The order was completely wrong. Got totally different food. Could be much better.
REV01012,Amazon,Electronics,1,negative,2025-05-03,Way overpriced for the terrible quality they delivered. Very disappointed with this.
REV00645,Amazon,Books,2,negative,2024-12-22,Way overpriced for the terrible quality they delivered.
REV00974,Swiggy,Pizza,1,negative,2023-06-11,Found a hair in my food. Absolutely disgusting! Will update after more use.
REV00383,Swiggy,Biryani,5,positive,2022-02-02,10/10 product. Would strongly recommend to everyone. Very disappointed with this.
REV00868,Amazon,Sports,5,positive,2024-12-02,Excellent experience overall. The app was smooth and order arrived on time. My family loves it.
REV00543,Zomato,Pizza,1,negative,2022-06-01,Complete waste of money. The quality is very poor. Overall a good choice.
REV01194,Amazon,Electronics,2,negative,2025-12-25,Packaging was broken and everything was spilled. Very bad! Ordered twice already.
REV00875,Zomato,Chinese,5,positive,2022-08-07,10/10 product. Would strongly recommend to everyone. Not worth the money at all.
REV00332,Amazon,Beauty,2,negative,2023-07-13,"The movie, the app, the everything — all terrible experience. Very disappointed with this."
REV00410,Zomato,Biryani,4,neutral,2024-05-31,Food quantity was okay but the quality could be better. Ordered twice already.
REV00077,Amazon,Electronics,5,positive,2023-03-25,Outstanding product. Works perfectly and looks great. My family loves it.
REV00869,Swiggy,Chinese,4,neutral,2023-05-08,Got what I paid for. Quality matches the price I guess. My family loves it.
REV00139,Amazon,Clothing,2,negative,2025-01-29,"The movie, the app, the everything — all terrible experience. Will update after more use."
REV00544,Amazon,Beauty,4,positive,2023-11-24,Excellent experience overall. The app was smooth and order arrived on time. Overall a good choice.
REV00674,Swiggy,Biryani,3,neutral,2022-03-31,Decent product overall. Would maybe try alternatives next time. Very disappointed with this.
REV00921,Zomato,Biryani,4,neutral,2022-12-06,Nothing extraordinary. Just a regular experience. Could be much better.
REV00064,Zomato,Indian,2,neutral,2025-05-06,Nothing extraordinary. Just a regular experience. Overall a good choice.
REV00142,Amazon,Books,4,positive,2025-08-19,Very impressed with the quality. Packaging was also very good. Overall a good choice.
REV00717,Zomato,Chinese,2,neutral,2024-04-10,It's alright. Not as expected but manageable. Could be much better.
REV00377,Amazon,Books,5,positive,2025-09-02,Excellent experience overall. The app was smooth and order arrived on time. Could be much better.
REV00364,Zomato,Biryani,5,positive,2025-01-06,Very impressed with the quality. Packaging was also very good. Highly recommend!
REV00140,Swiggy,Biryani,5,positive,2022-03-01,Loved the food quality. Perfect spice level and very fresh. Overall a good choice.
REV00885,Amazon,Beauty,4,neutral,2024-03-21,Average product. Neither good nor bad. Just decent. Could be much better.
REV01042,Zomato,Chinese,2,negative,2024-01-05,Terrible product. Stopped working after just 2 days of use. Highly recommend!
REV00225,Zomato,Biryani,1,negative,2022-03-19,Worst pizza I've ever had. Dough was raw from the inside. Very disappointed with this.
REV00515,Zomato,Continental,4,neutral,2022-07-08,"Food was average. Some items were tasty, some were not. Highly recommend!"
